feature_index,feature_name,gem5_component,feature_category,unit,description,included_in_raw_399,included_in_selected_file,selected_feature_file_count,spectre_relevance,raw_documentation_source,observed_in_raw_stats_files
101,system.cpu.mmu.dtb.rdAccesses,system.cpu.mmu,Address translation and TLB,Count,TLB accesses on read requests,yes,yes,127,Medium: address-translation activity may reflect altered speculative memory access patterns.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
102,system.cpu.mmu.dtb.wrAccesses,system.cpu.mmu,Address translation and TLB,Count,TLB accesses on write requests,yes,yes,127,Medium: address-translation activity may reflect altered speculative memory access patterns.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
103,system.cpu.mmu.dtb.rdMisses,system.cpu.mmu,Address translation and TLB,Count,TLB misses on read requests,yes,yes,127,High: cache-access and cache-state effects are central to Spectre side channels.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
104,system.cpu.mmu.dtb.wrMisses,system.cpu.mmu,Address translation and TLB,Count,TLB misses on write requests,yes,yes,127,High: cache-access and cache-state effects are central to Spectre side channels.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
105,system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED,system.cpu.mmu,Address translation and TLB,Tick,Cumulative time (in ticks) in various power states,yes,yes,127,Medium: address-translation activity may reflect altered speculative memory access patterns.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
106,system.cpu.mmu.itb.rdAccesses,system.cpu.mmu,Address translation and TLB,Count,TLB accesses on read requests,yes,no,127,Medium: address-translation activity may reflect altered speculative memory access patterns.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
107,system.cpu.mmu.itb.wrAccesses,system.cpu.mmu,Address translation and TLB,Count,TLB accesses on write requests,yes,yes,127,Medium: address-translation activity may reflect altered speculative memory access patterns.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
108,system.cpu.mmu.itb.rdMisses,system.cpu.mmu,Address translation and TLB,Count,TLB misses on read requests,yes,no,127,High: cache-access and cache-state effects are central to Spectre side channels.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
109,system.cpu.mmu.itb.wrMisses,system.cpu.mmu,Address translation and TLB,Count,TLB misses on write requests,yes,yes,127,High: cache-access and cache-state effects are central to Spectre side channels.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
110,system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED,system.cpu.mmu,Address translation and TLB,Tick,Cumulative time (in ticks) in various power states,yes,yes,127,Medium: address-translation activity may reflect altered speculative memory access patterns.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
111,system.cpu.power_state.pwrStateResidencyTicks::ON,system.cpu.power_state,"Clock, voltage, and power state",Tick,Cumulative time (in ticks) in various power states,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
112,system.cpu.thread_0.numInsts,system.cpu.thread_0,CPU execution and instruction mix,Count,Number of Instructions committed,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
113,system.cpu.thread_0.numOps,system.cpu.thread_0,CPU execution and instruction mix,Count,Number of Ops committed,yes,no,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
114,system.cpu.thread_0.numMemRefs,system.cpu.thread_0,CPU execution and instruction mix,Count,Number of Memory References,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
115,system.cpu.workload.numSyscalls,system.cpu.workload,Workload and system calls,Count,Number of system calls,yes,yes,127,Medium: execution-volume and instruction-mix changes can help distinguish attack scenarios.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
116,system.cpu_clk_domain.clock,system.cpu_clk_domain.clock,"Clock, voltage, and power state",Tick,Clock period in ticks,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
117,system.cpu_voltage_domain.voltage,system.cpu_voltage_domain.voltage,"Clock, voltage, and power state",Volt,Voltage in Volts,yes,yes,127,Contextual: potential usefulness should be evaluated empirically with feature selection or explainability methods.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
118,system.mem_ctrls.priorityMinLatency,system.mem_ctrls.priorityMinLatency,Memory controller and DRAM,Second,per QoS priority minimum request to response latency,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
119,system.mem_ctrls.priorityMaxLatency,system.mem_ctrls.priorityMaxLatency,Memory controller and DRAM,Second,per QoS priority maximum request to response latency,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
120,system.mem_ctrls.numReadWriteTurnArounds,system.mem_ctrls.numReadWriteTurnArounds,Memory controller and DRAM,Count,Number of turnarounds from READ to WRITE,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
121,system.mem_ctrls.numWriteReadTurnArounds,system.mem_ctrls.numWriteReadTurnArounds,Memory controller and DRAM,Count,Number of turnarounds from WRITE to READ,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
122,system.mem_ctrls.numStayReadState,system.mem_ctrls.numStayReadState,Memory controller and DRAM,Count,Number of times bus staying in READ state,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
123,system.mem_ctrls.numStayWriteState,system.mem_ctrls.numStayWriteState,Memory controller and DRAM,Count,Number of times bus staying in WRITE state,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
124,system.mem_ctrls.readReqs,system.mem_ctrls.readReqs,Memory controller and DRAM,Count,Number of read requests accepted,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
125,system.mem_ctrls.writeReqs,system.mem_ctrls.writeReqs,Memory controller and DRAM,Count,Number of write requests accepted,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
126,system.mem_ctrls.readBursts,system.mem_ctrls.readBursts,Memory controller and DRAM,Count,"Number of controller read bursts, including those serviced by the write queue",yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
127,system.mem_ctrls.writeBursts,system.mem_ctrls.writeBursts,Memory controller and DRAM,Count,"Number of controller write bursts, including those merged in the write queue",yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
128,system.mem_ctrls.servicedByWrQ,system.mem_ctrls.servicedByWrQ,Memory controller and DRAM,Count,Number of controller read bursts serviced by the write queue,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
129,system.mem_ctrls.mergedWrBursts,system.mem_ctrls.mergedWrBursts,Memory controller and DRAM,Count,Number of controller write bursts merged with an existing one,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
130,system.mem_ctrls.neitherReadNorWriteReqs,system.mem_ctrls.neitherReadNorWriteReqs,Memory controller and DRAM,Count,Number of requests that are neither read nor write,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
131,system.mem_ctrls.avgRdQLen,system.mem_ctrls.avgRdQLen,Memory controller and DRAM,,Average read queue length when enqueuing ((Count/Tick)),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
132,system.mem_ctrls.avgWrQLen,system.mem_ctrls.avgWrQLen,Memory controller and DRAM,,Average write queue length when enqueuing ((Count/Tick)),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
133,system.mem_ctrls.numRdRetry,system.mem_ctrls.numRdRetry,Memory controller and DRAM,Count,Number of times read queue was full causing retry,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
134,system.mem_ctrls.numWrRetry,system.mem_ctrls.numWrRetry,Memory controller and DRAM,Count,Number of times write queue was full causing retry,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
135,system.mem_ctrls.readPktSize::0,system.mem_ctrls.readPktSize::0,Memory controller and DRAM,Count,Read request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
136,system.mem_ctrls.readPktSize::1,system.mem_ctrls.readPktSize::1,Memory controller and DRAM,Count,Read request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
137,system.mem_ctrls.readPktSize::2,system.mem_ctrls.readPktSize::2,Memory controller and DRAM,Count,Read request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
138,system.mem_ctrls.readPktSize::3,system.mem_ctrls.readPktSize::3,Memory controller and DRAM,Count,Read request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
139,system.mem_ctrls.readPktSize::4,system.mem_ctrls.readPktSize::4,Memory controller and DRAM,Count,Read request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
140,system.mem_ctrls.readPktSize::5,system.mem_ctrls.readPktSize::5,Memory controller and DRAM,Count,Read request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
141,system.mem_ctrls.readPktSize::6,system.mem_ctrls.readPktSize::6,Memory controller and DRAM,Count,Read request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
142,system.mem_ctrls.writePktSize::0,system.mem_ctrls.writePktSize::0,Memory controller and DRAM,Count,Write request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
143,system.mem_ctrls.writePktSize::1,system.mem_ctrls.writePktSize::1,Memory controller and DRAM,Count,Write request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
144,system.mem_ctrls.writePktSize::2,system.mem_ctrls.writePktSize::2,Memory controller and DRAM,Count,Write request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
145,system.mem_ctrls.writePktSize::3,system.mem_ctrls.writePktSize::3,Memory controller and DRAM,Count,Write request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
146,system.mem_ctrls.writePktSize::4,system.mem_ctrls.writePktSize::4,Memory controller and DRAM,Count,Write request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
147,system.mem_ctrls.writePktSize::5,system.mem_ctrls.writePktSize::5,Memory controller and DRAM,Count,Write request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
148,system.mem_ctrls.writePktSize::6,system.mem_ctrls.writePktSize::6,Memory controller and DRAM,Count,Write request sizes (log2),yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
149,system.mem_ctrls.rdQLenPdf::0,system.mem_ctrls.rdQLenPdf::0,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
150,system.mem_ctrls.rdQLenPdf::1,system.mem_ctrls.rdQLenPdf::1,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
151,system.mem_ctrls.rdQLenPdf::2,system.mem_ctrls.rdQLenPdf::2,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
152,system.mem_ctrls.rdQLenPdf::3,system.mem_ctrls.rdQLenPdf::3,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
153,system.mem_ctrls.rdQLenPdf::4,system.mem_ctrls.rdQLenPdf::4,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
154,system.mem_ctrls.rdQLenPdf::5,system.mem_ctrls.rdQLenPdf::5,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
155,system.mem_ctrls.rdQLenPdf::6,system.mem_ctrls.rdQLenPdf::6,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
156,system.mem_ctrls.rdQLenPdf::7,system.mem_ctrls.rdQLenPdf::7,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
157,system.mem_ctrls.rdQLenPdf::8,system.mem_ctrls.rdQLenPdf::8,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
158,system.mem_ctrls.rdQLenPdf::9,system.mem_ctrls.rdQLenPdf::9,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
159,system.mem_ctrls.rdQLenPdf::10,system.mem_ctrls.rdQLenPdf::10,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
160,system.mem_ctrls.rdQLenPdf::11,system.mem_ctrls.rdQLenPdf::11,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
161,system.mem_ctrls.rdQLenPdf::12,system.mem_ctrls.rdQLenPdf::12,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
162,system.mem_ctrls.rdQLenPdf::13,system.mem_ctrls.rdQLenPdf::13,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
163,system.mem_ctrls.rdQLenPdf::14,system.mem_ctrls.rdQLenPdf::14,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
164,system.mem_ctrls.rdQLenPdf::15,system.mem_ctrls.rdQLenPdf::15,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
165,system.mem_ctrls.rdQLenPdf::16,system.mem_ctrls.rdQLenPdf::16,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
166,system.mem_ctrls.rdQLenPdf::17,system.mem_ctrls.rdQLenPdf::17,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
167,system.mem_ctrls.rdQLenPdf::18,system.mem_ctrls.rdQLenPdf::18,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
168,system.mem_ctrls.rdQLenPdf::19,system.mem_ctrls.rdQLenPdf::19,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
169,system.mem_ctrls.rdQLenPdf::20,system.mem_ctrls.rdQLenPdf::20,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
170,system.mem_ctrls.rdQLenPdf::21,system.mem_ctrls.rdQLenPdf::21,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
171,system.mem_ctrls.rdQLenPdf::22,system.mem_ctrls.rdQLenPdf::22,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
172,system.mem_ctrls.rdQLenPdf::23,system.mem_ctrls.rdQLenPdf::23,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
173,system.mem_ctrls.rdQLenPdf::24,system.mem_ctrls.rdQLenPdf::24,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
174,system.mem_ctrls.rdQLenPdf::25,system.mem_ctrls.rdQLenPdf::25,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
175,system.mem_ctrls.rdQLenPdf::26,system.mem_ctrls.rdQLenPdf::26,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
176,system.mem_ctrls.rdQLenPdf::27,system.mem_ctrls.rdQLenPdf::27,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
177,system.mem_ctrls.rdQLenPdf::28,system.mem_ctrls.rdQLenPdf::28,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
178,system.mem_ctrls.rdQLenPdf::29,system.mem_ctrls.rdQLenPdf::29,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
179,system.mem_ctrls.rdQLenPdf::30,system.mem_ctrls.rdQLenPdf::30,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
180,system.mem_ctrls.rdQLenPdf::31,system.mem_ctrls.rdQLenPdf::31,Memory controller and DRAM,Count,What read queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
181,system.mem_ctrls.wrQLenPdf::0,system.mem_ctrls.wrQLenPdf::0,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
182,system.mem_ctrls.wrQLenPdf::1,system.mem_ctrls.wrQLenPdf::1,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
183,system.mem_ctrls.wrQLenPdf::2,system.mem_ctrls.wrQLenPdf::2,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
184,system.mem_ctrls.wrQLenPdf::3,system.mem_ctrls.wrQLenPdf::3,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
185,system.mem_ctrls.wrQLenPdf::4,system.mem_ctrls.wrQLenPdf::4,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
186,system.mem_ctrls.wrQLenPdf::5,system.mem_ctrls.wrQLenPdf::5,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
187,system.mem_ctrls.wrQLenPdf::6,system.mem_ctrls.wrQLenPdf::6,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
188,system.mem_ctrls.wrQLenPdf::7,system.mem_ctrls.wrQLenPdf::7,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
189,system.mem_ctrls.wrQLenPdf::8,system.mem_ctrls.wrQLenPdf::8,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
190,system.mem_ctrls.wrQLenPdf::9,system.mem_ctrls.wrQLenPdf::9,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
191,system.mem_ctrls.wrQLenPdf::10,system.mem_ctrls.wrQLenPdf::10,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
192,system.mem_ctrls.wrQLenPdf::11,system.mem_ctrls.wrQLenPdf::11,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
193,system.mem_ctrls.wrQLenPdf::12,system.mem_ctrls.wrQLenPdf::12,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
194,system.mem_ctrls.wrQLenPdf::13,system.mem_ctrls.wrQLenPdf::13,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
195,system.mem_ctrls.wrQLenPdf::14,system.mem_ctrls.wrQLenPdf::14,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
196,system.mem_ctrls.wrQLenPdf::15,system.mem_ctrls.wrQLenPdf::15,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
197,system.mem_ctrls.wrQLenPdf::16,system.mem_ctrls.wrQLenPdf::16,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
198,system.mem_ctrls.wrQLenPdf::17,system.mem_ctrls.wrQLenPdf::17,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
199,system.mem_ctrls.wrQLenPdf::18,system.mem_ctrls.wrQLenPdf::18,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
200,system.mem_ctrls.wrQLenPdf::19,system.mem_ctrls.wrQLenPdf::19,Memory controller and DRAM,Count,What write queue length does an incoming req see,yes,no,127,Medium to high: memory traffic and latency can reflect transient accesses and cache effects.,Lbm-results-IO/non-attack-stats/stats-70-lbm-non.txt,126
